demanda_id,dia,empilhadeira_id,operador_id,tipo,zona_origem,zona_destino,x_origem,y_origem,x_destino,y_destino,distancia_euclidiana_m,distancia_percorrida_m,peso_kg,prioridade,sku,timestamp_inicio,hora_do_dia,dia_semana,tempo_real_min,tempo_estimado_min,congestionamento_medio
262,0,0,2491,recebimento_para_rack,recebimento,armazenagem,10.0,30.0,76.0,9.777777777777779,69.02853230081702,69.0,596.0,normal,SKU-6393,2026-01-05 08:07:41.000000000,8,0,0.583,0.487,0.466
255,0,0,2491,recebimento_para_rack,recebimento,armazenagem,10.0,30.0,65.6,56.0,61.37882370981053,62.9,513.6,baixa,SKU-9792,2026-01-05 08:32:05.000000000,8,0,0.567,0.444,0.549
19,0,0,2491,rack_para_expedicao,armazenagem,expedicao,65.6,9.777777777777779,90.0,30.0,31.690665370183353,33.9,1343.6,normal,SKU-8629,2026-01-05 08:50:55.000000000,8,0,0.367,0.239,0.682
137,0,0,2491,recebimento_para_rack,recebimento,armazenagem,10.0,30.0,24.0,15.555555555555555,20.115714635792635,20.1,835.9,alta,SKU-9226,2026-01-05 09:18:18.000000000,9,0,0.183,0.142,0.423
308,0,0,2491,rack_para_rack,armazenagem,armazenagem,76.0,56.0,65.6,50.22222222222222,11.897172607362762,11.9,1120.8,baixa,SKU-7278,2026-01-05 09:33:06.000000000,9,0,0.1,0.084,0.152
9,0,0,2491,recebimento_para_rack,recebimento,armazenagem,10.0,30.0,34.4,44.44444444444444,28.354928589376517,28.6,242.3,alta,SKU-9792,2026-01-05 10:04:03.000000000,10,0,0.283,0.202,0.693
43,0,0,2491,rack_para_expedicao,armazenagem,expedicao,76.0,38.666666666666664,90.0,30.0,16.46545204697129,16.5,867.4,normal,SKU-7736,2026-01-05 10:05:46.000000000,10,0,0.183,0.116,0.814
183,0,0,2491,rack_para_expedicao,armazenagem,expedicao,34.4,9.777777777777779,90.0,30.0,59.16331863245112,59.5,921.3,normal,SKU-5555,2026-01-05 10:33:04.000000000,10,0,0.633,0.42,0.709
215,0,0,2491,rack_para_expedicao,armazenagem,expedicao,44.8,4.0,90.0,30.0,52.1444148495311,52.2,933.4,alta,SKU-8734,2026-01-05 10:45:57.000000000,10,0,0.483,0.368,0.492
10,0,0,2491,recebimento_para_rack,recebimento,armazenagem,10.0,30.0,34.4,56.0,35.65613551690648,35.7,660.5,baixa,SKU-9666,2026-01-05 10:55:12.000000000,10,0,0.3,0.252,0.394
58,0,0,3516,recebimento_para_rack,recebimento,armazenagem,10.0,30.0,34.4,50.22222222222222,31.69066537018335,33.9,357.8,normal,SKU-3734,2026-01-05 11:53:46.000000000,11,0,0.3,0.239,0.527
367,0,0,3516,rack_para_expedicao,armazenagem,expedicao,24.0,27.11111111111111,90.0,30.0,66.06319458679201,66.1,1080.7,normal,SKU-1466,2026-01-05 11:56:42.000000000,11,0,0.633,0.466,0.564
76,0,0,3516,rack_para_rack,armazenagem,armazenagem,34.4,4.0,44.8,56.0,53.02980294136496,53.0,1563.8,normal,SKU-7420,2026-01-05 13:07:09.000000000,13,0,0.483,0.374,0.428
311,0,0,3516,rack_para_expedicao,armazenagem,expedicao,65.6,32.888888888888886,90.0,30.0,24.57042284968547,24.6,318.5,normal,SKU-9529,2026-01-05 13:41:48.000000000,13,0,0.3,0.173,0.978
271,0,0,7448,rack_para_expedicao,armazenagem,expedicao,24.0,4.0,90.0,30.0,70.9365914038728,71.4,917.9,normal,SKU-8270,2026-01-05 14:06:12.000000000,14,0,0.767,0.504,0.74
347,0,0,7448,rack_para_expedicao,armazenagem,expedicao,65.6,21.333333333333332,90.0,30.0,25.893456916972507,25.9,649.0,normal,SKU-7439,2026-01-05 14:08:15.000000000,14,0,0.3,0.183,0.852
129,0,0,7448,rack_para_rack,armazenagem,armazenagem,24.0,27.11111111111111,34.4,44.44444444444444,20.21396656879704,20.3,727.3,normal,SKU-1466,2026-01-05 14:37:06.000000000,14,0,0.2,0.143,0.515
306,0,0,7448,rack_para_expedicao,armazenagem,expedicao,55.2,56.0,90.0,30.0,43.440073664762586,44.2,482.5,normal,SKU-1161,2026-01-05 15:02:42.000000000,15,0,0.4,0.312,0.515
272,0,0,7448,rack_para_rack,armazenagem,armazenagem,65.6,9.777777777777779,34.4,21.333333333333332,33.27117166854108,33.7,415.4,normal,SKU-8629,2026-01-05 15:08:47.000000000,15,0,0.267,0.238,0.362
341,0,0,7448,rack_para_rack,armazenagem,armazenagem,55.2,32.888888888888886,24.0,27.11111111111111,31.730469836568492,31.7,1047.2,alta,SKU-8555,2026-01-05 15:25:41.000000000,15,0,0.267,0.224,0.31
